,num_pkts_uplink,num_pkts_downlink,total_bytes_uplink,min_pkt_size_uplink,max_pkt_size_uplink,mean_pkt_size_uplink,std_pkt_size_uplink,total_bytes_downlink,min_pkt_size_downlink,max_pkt_size_downlink,mean_pkt_size_downlink,std_pkt_size_downlink,min_iat_uplink,max_iat_uplink,mean_iat_uplink,std_iat_uplink,min_iat_downlink,max_iat_downlink,mean_iat_downlink,std_iat_downlink,website
29,120,124,7038.0,40.0,569.0,58.65,48.286026303004626,2634633.0,52.0,56368.0,21247.040322580644,20186.71685793472,5e-06,0.05672,0.0011217899159663863,0.00526825955867064,1e-06,0.058492,0.001068528455284553,0.005325344162394967,www.cnn.com
30,48,50,3334.0,52.0,569.0,69.45833333333333,75.53974812043849,449512.0,52.0,30102.0,8990.24,7835.1590571875795,5e-06,0.25057,0.014031212765957445,0.04155141768205423,1e-06,0.206841,0.01343730612244898,0.035911712237678625,www.express.co.uk
31,39,39,2866.0,52.0,569.0,73.48717948717949,83.47986577135697,448481.0,52.0,31468.0,11499.51282051282,12580.973416175535,6e-06,0.054627,0.0020529736842105264,0.00880154684343193,1e-06,0.05645,0.0020137631578947372,0.009103182441542703,www.express.co.uk
32,39,37,2866.0,52.0,569.0,73.48717948717949,83.47986577135697,448378.0,52.0,31468.0,12118.324324324325,11976.460748424743,1.3e-05,0.055432,0.002011026315789474,0.008930433570440212,1e-06,0.056993,0.0020904166666666666,0.009445452603161559,www.express.co.uk
33,36,31,2710.0,52.0,569.0,75.27777777777777,86.7372423261727,448125.0,52.0,31468.0,14455.645161290322,13321.633031898124,1.2e-05,0.055889,0.0022200571428571425,0.009367709739383718,3e-05,0.057938,0.0025468333333333332,0.010495282398603516,www.express.co.uk
34,39,40,2866.0,52.0,569.0,73.48717948717949,83.47986577135697,448617.0,52.0,31468.0,11215.425,12658.199879894415,9e-06,0.055306,0.0020420000000000004,0.008906602003190848,1e-06,0.057205,0.001956846153846154,0.00911511667084283,www.express.co.uk
35,41,37,2970.0,52.0,569.0,72.4390243902439,81.50093520337292,448379.0,52.0,31468.0,12118.351351351352,12294.265126961107,9e-06,0.090056,0.002755975,0.0141816867798734,2e-06,0.091393,0.003038861111111111,0.015172656571520414,www.express.co.uk
36,41,36,2970.0,52.0,569.0,72.4390243902439,81.50093520337292,448325.0,52.0,31468.0,12453.472222222223,11755.247162707776,6e-06,0.056219,0.0018755499999999997,0.008839304230508598,1e-06,0.057488,0.002120457142857143,0.009670668020428813,www.express.co.uk
37,42,39,3022.0,52.0,569.0,71.95238095238095,80.56264109706348,448481.0,52.0,31468.0,11499.51282051282,11188.244191941625,1.1e-05,0.053802,0.0017883658536585365,0.00835068958157378,1e-06,0.055202,0.001899921052631579,0.008908772246473967,www.express.co.uk
38,43,40,3074.0,52.0,569.0,71.48837209302326,79.65591841014084,448576.0,52.0,31468.0,11214.4,11843.251770631414,1.1e-05,0.05866,0.0019251904761904762,0.008998398058619685,1e-06,0.060545,0.0020285897435897435,0.009648820993473894,www.express.co.uk
39,39,36,2866.0,52.0,569.0,73.48717948717949,83.47986577135697,448324.0,52.0,31468.0,12453.444444444445,12179.92111502591,5e-06,0.055657,0.0019730263157894737,0.008968718865053685,1e-06,0.057105,0.002109514285714286,0.009597884915197627,www.express.co.uk
40,54,60,3624.0,40.0,569.0,67.11111111111111,71.76709359637216,689123.0,52.0,56524.0,11485.383333333333,14555.903901028914,6e-06,0.054515,0.0019496603773584904,0.007792782822150734,1e-06,0.056006,0.0017196440677966103,0.007593547221530313,www.news18.com
41,66,89,4310.0,40.0,569.0,65.3030303030303,65.3360472296807,691245.0,52.0,32926.0,7766.797752808989,7976.100802026377,5e-06,0.055677,0.004998246153846153,0.009777446327567416,1e-06,0.05721,0.0036693522727272733,0.00879910399832438,www.news18.com
42,53,54,3584.0,40.0,569.0,67.62264150943396,72.35442318494914,688823.0,52.0,56524.0,12755.981481481482,16644.09637701001,3e-06,0.054076,0.002515211538461538,0.008279519741534076,1e-06,0.055544,0.002433301886792453,0.008420274208911822,www.news18.com
43,57,58,3780.0,40.0,569.0,66.3157894736842,69.90124612999624,689020.0,52.0,56524.0,11879.655172413793,14371.466522918206,7e-06,0.087516,0.0023591607142857142,0.011680132190685307,1e-06,0.088995,0.0022818771929824563,0.011785112988230678,www.news18.com
44,69,84,4416.0,40.0,569.0,64.0,63.619734267248354,690384.0,52.0,44940.0,8218.857142857143,9699.826572965674,4e-06,0.363156,0.007679676470588235,0.044363746047043885,1e-06,0.361347,0.006263879518072287,0.04005593255881129,www.news18.com
45,65,94,4258.0,40.0,569.0,65.50769230769231,65.8231824371463,691505.0,52.0,31478.0,7356.436170212766,8039.14124440508,5e-06,0.056945,0.00416234375,0.009010987559673759,1e-06,0.057921,0.0028487096774193555,0.007610200550949114,www.news18.com
46,71,81,4570.0,40.0,569.0,64.36619718309859,63.05264001193644,690830.0,52.0,32926.0,8528.765432098766,8501.61956375314,6e-06,0.055714,0.0021475000000000005,0.007863995701839538,1e-06,0.057059,0.0018579999999999998,0.00748126740261081,www.news18.com
47,52,55,3520.0,40.0,569.0,67.6923076923077,73.09717906134954,689465.0,52.0,56524.0,12535.727272727272,15297.744391291137,6e-06,0.055641,0.002929843137254902,0.008996305184624517,1e-06,0.057084,0.0027335185185185184,0.008946652017924876,www.news18.com
48,58,58,3832.0,40.0,569.0,66.06896551724138,69.31085889176804,689623.0,52.0,56524.0,11890.051724137931,14758.873658377335,3e-06,0.05525,0.001824140350877193,0.0074098474667127845,1e-06,0.056862,0.00178940350877193,0.0076262851396142915,www.news18.com
49,59,63,3946.0,40.0,569.0,66.88135593220339,68.99352412033711,689894.0,52.0,46388.0,10950.698412698413,12373.875365820866,8e-06,0.087415,0.002931448275862069,0.011618348945378424,1e-06,0.089447,0.002704451612903226,0.011563636253327049,www.news18.com
50,16,13,1504.0,40.0,557.0,94.0,126.11000488991083,5831.0,40.0,4136.0,448.53846153846155,1118.6245732583545,1.2e-05,0.054871,0.004331533333333332,0.014007888700232281,1e-06,0.056287,0.005313999999999999,0.016084479780775686,www.nypost.com
51,14,13,1424.0,40.0,557.0,101.71428571428571,133.55807067249154,5830.0,40.0,4136.0,448.46153846153845,1118.6513170915991,4e-06,0.054915,0.004962538461538463,0.015032628987280661,1e-06,0.056314,0.00526575,0.016107450433798413,www.nypost.com
52,15,11,1464.0,40.0,557.0,97.6,129.68246935165467,5728.0,40.0,4136.0,520.7272727272727,1210.109506690125,6e-06,0.09707,0.007846285714285714,0.0257041230916771,3e-06,0.098688,0.010887200000000001,0.030889672768310988,www.nypost.com
53,16,13,1504.0,40.0,557.0,94.0,126.11000488991083,5829.0,40.0,4136.0,448.38461538461536,1118.6781290479655,3e-06,0.054085,0.004224533333333333,0.013816278746808916,1e-06,0.055435,0.0051741666666666655,0.015859822518973325,www.nypost.com
